Name,PC1,PC2,Rnd,cluster_labels_kmeans,cluster_labels_kmeans2,cluster_labels_kmeans3
Jacquizz Rodgers,2.984086793725955,3.0293561910526567,5,6,0,0
Deji Karim,-5.284487839081139,-0.8097021978511402,6,0,1,1
Toby Gerhart,2.5687841128633275,-2.2412589391011277,2,5,2,0
Owen Marecic,-3.380433745051829,0.5134535339124401,4,0,1,1
Stepfan Taylor,3.3109157803846623,1.8588317445212177,5,1,0,0
Tony Fiammetta,-3.151430367513238,-0.2507352961739087,4,0,1,1
Delone Carter,0.4370550748505815,-1.6180628541637798,4,5,2,0
Montario Hardesty,0.7925140776411544,-1.3721459216686283,2,5,2,0
Bryce Brown,-4.2117968904964,1.5998371706316645,7,0,1,1
Mike Goodson,1.0442831058902662,1.1819656681134507,4,6,0,0
Cyrus Gray,1.290264834331956,2.9769517718705925,6,6,0,0
Christine Michael,2.4419928015091155,-1.8729894460799392,2,5,2,0
Aaron Brown,0.57210355332531,2.507207731069436,6,6,0,0
Chris Ogbonnaya,-2.5466024729959904,2.6826832348522167,7,0,1,1
Jamaal Charles,2.513104544298874,-1.6351068336374,3,5,2,0
Jalen Parmele,-0.6701776736877894,0.06128337365817197,6,2,1,1
Matt Forte,3.366635012998212,-1.579456487118794,2,1,2,0
Zac Stacy,0.7925153988373997,0.24305470572695326,5,2,2,0
Bernard Pierce,1.6596655181220556,-1.182607459080668,3,5,2,0
Andre Brown,1.041488432381092,-0.029392333566857574,4,2,2,0
Jerome Harrison,-1.7278160969087608,-0.43600803957284134,5,2,1,1
Quinton Ganther,-3.1080871806245005,1.0446501163135973,7,0,1,1
Steve Slaton,3.5072506437388435,-0.47287519172129233,3,1,2,0
Maurice Jones-Drew,-0.8363978120628817,-1.6822134038671652,2,3,2,1
Johnathan Franklin,4.322207246456834,-0.35388946265310384,4,1,2,0
Kendall Hunter,2.9045432219792344,0.07741232481191307,4,1,2,0
Joseph Randle,2.552668294938,2.5632327899975493,5,6,0,0
Antonio Pittman,-0.3821926761808678,-0.7845814497397025,4,2,2,1
Chris Wells,2.0594945243345366,-4.583925544669206,1,5,2,0
Daniel Herron,-0.11855570068272073,0.8452167003877588,6,2,0,1
Carlos Hyde,1.4841293718369175,-1.3907609873148838,2,5,2,0
Alfred Morris,1.1912338611232751,0.7212294838800193,6,2,0,0
Tony Hunt,0.5715888975853454,-1.3521830718395242,3,5,2,0
Evan Royster,1.4380842201738413,1.7582835907020702,6,6,0,0
Frank Summers,-1.5720377068854419,1.2118096911931024,5,2,1,1
Tim Hightower,-4.780443054015196,-1.5697736281256782,5,3,1,1
Eddie Williams,-1.9644373143119434,5.169345704710323,7,6,0,1
Taiwan Jones,-4.051621070602763,-1.3752822435874525,4,3,1,1
Jerick McKinnon,-3.7298256344267005,-3.1480735765693475,3,3,1,1
Lorenzo Taliaferro,-4.723728920421124,-2.0754336598765346,4,3,1,1
Terrance West,-4.039156705999038,-2.722103946590834,3,3,1,1
